Aerostat	A passive balloon; a balloon without motive power.
Aerostation	That part of aeronautics that deals with passive balloons.
Aerotaxis	The positive or negative stimulus exerted by oxygen on aerobic and anaerobic bacteria.
Aerotherapentics	Treatment of disease by the use of air or other gases.
Aeroyacht	A form of hydro-aeroplane; a flying boat.
Aesir	In the old Norse mythology, the gods Odin, Thor, Loki, Balder, Frigg, and the others. Their home was called Asgard.
Affect	The emotional complex associated with an idea or mental state. In hysteria, the affect is sometimes entirely dissociated, sometimes transferred to another than the original idea.
Affiche	A written or printed notice to be posted, as on a wall; a poster; a placard.
Affricate	A combination of a stop, or explosive, with an immediately following fricative or spirant of corresponding organic position, as pf in german Pfeffer, pepper, z (= ts) in German Zeit, time.
Afloat	Covered with water bearing floating articles; flooded; as, the decks are afloat.
A. F. of L.	American Federation of Labor.
Aftersensation	A sensation or sense impression following the removal of a stimulus producing a primary sensation, and reproducing the primary sensation in positive, negative, or complementary form. The aftersensation may be continuous with the primary sensation or follow it after an interval.
Agar-agar	A gelatinlike substance, or a solution of it, prepared from certain seaweeds containing gelose, and used in the artificial cultivation of bacteria; -- often called agar, by abbreviation.
Age	In poker, the right belonging to the player to the left of the dealer to pass the first round in betting, and then to come in last or stay out; also, the player holding this position; the eldest hand.
Aggraded	of Aggrade
Aggrading	of Aggrade
Aggrade	To bring, or tend to bring, to a uniform grade, or slope, by addition of material; as, streams aggrade their beds by depositing sediment.
Agnus Scythicus	The Scythian lamb, a kind of woolly-skinned rootstock. See Barometz.
Agrotechny	That branch of agriculture dealing with the methods of conversion of agricultural products into manufactured articles; agricultural technology.
Aileron	A half gable, as at the end of a penthouse or of the aisle of a church.
Aileron	A small plane or surface capable of being manipulated by the pilot of a flying machine to preserve or destroy lateral balance; a hinged wing tip; a lateral stabilizing or balancing plane.
Air brush	A kind of atomizer for applying liquid coloring matter in a spray by compressed air.
Air cooling	In gasoline-engine motor vehicles, the cooling of the cylinder by increasing its radiating surface by means of ribs or radiators, and placing it so that it is exposed to a current of air. Cf. Water cooling.
Aircraft	Any device, as a balloon, aeroplane, etc., for floating in, or flying through, the air.
Air gap	An air-filled gap in a magnetic or electric circuit; specif., in a dynamo or motor, the space between the field-magnet poles and the armature; clearance.
Air hole	A local region in the atmosphere having a downward movement and offering less than normal support for the sustaining surfaces of a flying machine.
Air line	A path through the air made easy for aerial navigation by steady winds.
Airman	A man who ascends or flies in an aircraft; a flying machine pilot.
Airmanship	Art, skill, or ability in the practice of aerial navigation.
Airol	A grayish green antiseptic powder, consisting of a basic iodide and gallate of bismuth, sometimes used in place of iodoform.
Airsick	Affected with aerial sickness
Airwoman	A woman who ascends or flies in an aircraft.
Ajava	See Ajouan.
Ajouan	Alt. of Ajowan
Ajowan	The fruit of Ammi Copticum, syn. Carum Ajowan, used both as a medicine and as a condiment. An oil containing thymol is extracted from it. Called also Javanee seed, Javanese seed, and ajava.
Alalia	Inability to utter articulate sounds, due either to paralysis of the larynx or to that form of aphasia, called motor, or ataxis, aphasia, due to loss of control of the muscles of speech.
Albert ware	A soft ornamental terra-cotta pottery, sold in the biscuit state for decorating.
Alb Sunday	The first Sunday after Easter Sunday, properly Albless Sunday, because in the early church those who had been baptized on Easter eve laid aside on the following Saturday their white albs which had been put on after baptism.
Albuminosis	A morbid condition due to excessive increase of albuminous elements in the blood.
Alcade	Var. of Alcaid.
Alcaldia	The jurisdiction or office of an alcalde; also, the building or chamber in which he conducts the business of his office.
Alcornoque	The bark of several trees, esp. of Bowdichia virgilioides of Brazil, used as a remedy for consumption; of Byrsonima crassifolia, used in tanning; of Alchornea latifolia, used medicinally; or of Quercus ilex, the cork tree.
Alder fly	Any of numerous neuropterous insects of the genus Sialis or allied genera. They have aquatic larvae, which are used for bait.
Alder fly	An artificial fly with brown mottled wings, body of peacock harl, and black legs.
Aldol	A colorless liquid, C4H8O2, obtained by condensation of two molecules of acetaldehyde: CH3CHO + CH3CHO = H3CH(OH)CH2CO; also, any of various derivatives of this. The same reaction has been applied, under the name of aldol condensation, to the production of many compounds.
Alem	The imperial standard of the Turkish Empire.
Aleppo boil	Alt. of evil
button	Alt. of evil
evil	A chronic skin affection terminating in an ulcer, most commonly of the face. It is endemic along the Mediterranean, and is probably due to a specific bacillus. Called also Aleppo ulcer, Biskara boil, Delhi boil, Oriental sore, etc.
Aleppo grass	One of the cultivated forms of Andropogon Halepensis (syn. Sorghum Halepense). See Andropogon, below.
Aleuronat	Flour made of aleurone, used as a substitute for ordinary flour in preparing bread for diabetic persons.
Alexia	As used by some, inability to read aloud, due to brain disease.
Alexia	More commonly, inability, due to brain disease, to understand written or printed symbols although they can be seen, as in case of word blindness.
Alfileria	Alt. of Alfilerilla
Alfilerilla	Same as Alfilaria.
Alforja	A saddlebag.
Algin	A nitrogenous substance resembling gelatin, obtained from certain algae.
Algometer	An instrument for measuring sensations of pain due to pressure. It has a piston rod with a blunted tip which is pressed against the skin.
Algonkian	Var. of Algonquian.
Algonkian	Pertaining to or designating a period or era recognized by the United States Geological Survey and some other authorities, between the Archaean and the Paleozoic, from both of which it is generally separated in the record by unconformities. Algonkian rocks are both sedimentary and igneous. Although fossils are rare, life certainly existed in this period.
Algonkian	The Algonkian period or era, or system or group of systems.
Algonquian	Pertaining to or designating the most extensive of the linguistic families of North American Indians, their territory formerly including practically all of Canada east of the 115th meridian and south of Hudson's Bay and the part of the United States east of the Mississippi and north of Tennessee and Virginia, with the exception of the territory occupied by the northern Iroquoian tribes. There are nearly 100,000 Indians of the Algonquian tribes, of which the strongest are the Ojibwas (Chippewas), Ottawas, Crees, Algonquins, Micmacs, and Blackfeet.
Algonquian	An Algonquian Indian.
Aliphatic	Of, pertaining to, or derived from, fat; fatty; -- applied to compounds having an openc-hain structure. The aliphatic compounds thus include not only the fatty acids and other derivatives of the paraffin hydrocarbons, but also unsaturated compounds, as the ethylene and acetylene series.
Alkali	Soluble mineral matter, other than common salt, contained in soils of natural waters.
Alkali flat	A sterile plain, containing an excess of alkali, at the bottom of an undrained basin in an arid region; a playa.
Alkali soil	Any one of various soils found in arid and semiarid regions, containing an unusual amount of soluble mineral salts which effloresce in the form of a powder or crust (usually white) in dry weather following rains or irrigation. The basis of these salts is mainly soda with a smaller amount of potash, and usually a little lime and  magnesia. Two main classes of alkali are commonly distinguished: black alkali, which may be any alkaline carbonate, but which practically consists of sodium carbonate (sal soda), which is highly corrosive and destructive to vegetation; and white alkali, characterized by the presence of sodium sulphate (Glauber's salt), which is less injurious to vegetation. Black alkali is so called because water containing it dissolves humus, forming a dark-colored solution which, when it collects in puddles and evaporates, produces characteristic black spots.
Alkali waste	Waste material from the manufacture of alkali; specif., soda waste.
Alleghenian	Alt. of Alleghanian
Alleghanian	Pertaining to or designating the humid division of the Transition zone extending across the northern United States from New England to eastern Dakota, and including also most of Pennsylvania and the mountainous region as far south as northern Georgia.
Allegheny	Of or pertaining to the Allegheny Mountains, or the region where they are situated. Also Al"le*gha`ny.
Alleghany	Pertaining to or designating a subdivision of the Pennsylvanian coal measure.
Allelomorph	One of the pure unit characters commonly existing singly or in pairs in the germ cells of Mendelian hybrids, and exhibited in varying proportion among the organisms themselves. Allelomorphs which under certain circumstances are themselves compound are called hypallelomorphs. See Mendel's law.
Alligator wrench	A kind of pipe wrench having a flaring jaw with teeth on one side.
Allotrophic	Changed or modified in nutritive power by the process of digestion.
Allotrophic	Dependent upon other organisms for nutrition; heterotrophic; -- said of plants unable to perform photosynthesis, as all saprophytes; -- opposed to autotrophic.
Alloy steel	Any steel containing a notable quantity of some other metal alloyed with the iron, usually chromium, nickel, manganese, tungsten, or vanadium.
Alluvial	Alluvial soil; specif., in Australia, gold-bearing alluvial soil.
Alpenglow	A reddish glow seen near sunset or sunrise on the summits of mountains; specif., a reillumination sometimes observed after the summits have passed into shadow, supposed to be due to a curving downward (refraction) of the light rays from the west resulting from the cooling of the air.
Alpenhorn	Alt. of Alphorn
Alphorn	A curved wooden horn about three feet long, with a cupped mouthpiece and a bell, used by the Swiss to sound the ranz des vaches and other melodies. Its notes are open harmonics of the tube.
Alpestrine	Growing on the elevated parts of mountains, but not above the timbe/ line; subalpine.
Alpha paper	A sensitized paper for obtaining positives by artificial light. It is coated with gelatin containing silver bromide and chloride.
Alpha rays	Rays of relatively low penetrating power emitted by radium and other radioactive substances, and shown to consist of positively charged particles (perhaps particles of helium) having enormous velocities but small masses. They are slightly deflected by a strong magnetic or electric field.
Alphol	A crystalline derivative of salicylic acid, used as an antiseptic and antirheumatic.
Alternat	A usage, among diplomats, of rotation in precedence among representatives of equal rank, sometimes determined by lot and at other times in regular order. The practice obtains in the signing of treaties and conventions between nations.
Alternating current	A current which periodically changes or reverses its direction of flow.
Alternator	An electric generator or dynamo for producing alternating currents.
Althing	The national assembly or parliament of Iceland. See Thing, n., 8.
Alto-cumulus	A fleecy cloud formation consisting of large whitish or grayish globular cloudlets with shaded  portions, often grouped in flocks or rows.
Alto-stratus	A cloud formation similar to cirro-stratus, but heavier and at a lower level.
Aluminography	Art or process of producing, and printing from, aluminium plates, after the manner of ordinary lithography.
Alveolar	Articulated with the tip of the tongue pressing against the alveolar processes of the upper front teeth.
Amanita	A genus of poisonous fungi of the family Agaricaceae, characterized by having a volva, an annulus, and white spores. The species resemble edible mushrooms, and are frequently mistaken for them. Amanita muscaria, syn. Agaricus muscarius, is the fly amanita, or fly agaric; and A. phalloides is the death cup.
Ambary	Alt. of Ambary hemp
Ambary hemp	A valuable East Indian fiber plant (Hibiscus cannabinus), or its fiber, which is used throughout India for making ropes, cordage, and a coarse canvas and sackcloth; -- called also brown Indian hemp.
Amboyna button	A chronic contagious affection of the skin, prevalent in the tropics.
Amboyna pine	The resiniferous tree Agathis Dammara, of the Moluccas.
Ambrosia	The food of certain small bark beetles, family Scolytidae believed to be fungi cultivated by the beetles in their burrows.
Ambrosia beetle	A bark beetle that feeds on ambrosia.
American plan	In hotels, aplan upon which guests pay for both room and board by the day, week, or other convenient period; -- contrasted with European plan.
American Protective Association	A secret organization in the United States, formed in Iowa in 1887, ostensibly for the protection of American institutions by keeping Roman Catholics out of public office. Abbrev. commonly to A. P .A.
Amidol	A salt of a diamino phenol, C6H3(OH)(NH2)2, used as a developer.
Amigos	of Amigo
Amigo	A friend; -- a Spanish term applied in the Philippine Islands to friendly natives.
Aminol	A colorless liquid prepared from herring brine and containing amines, used as a local antiseptic.
Amish	The Amish Mennonites.
Amish	Of, pertaining to, or designating, the followers of Jacob Amman, a strict Mennonite of the 17th century, who even proscribed the use of buttons and shaving as "worldly conformity". There are several branches of Amish Mennonites in the United States.
Amitosis	Cell division in which there is first a simple cleavage of the nucleus without change in its structure (such as the formation of chromosomes), followed by the division of the cytoplasm; direct cell division; -- opposed to mitosis. It is not the usual mode of division, and is believed by many to occur chiefly in highly specialized cells which are incapable of long-continued multiplication, in transitory structures, and in those in early stages of degeneration.
Amitotic	Of or pertaining to amitosis; karyostenotic; -- opposed to mitotic.
Ammonal	An explosive consisting of a mixture of powdered aluminium and nitrate of ammonium.
